Perioden,Regio's,Gemiddelde woningwaarde (1 000 euro)
2009,Zuid-Holland (PV),225
2010,Zuid-Holland (PV),226
2011,Zuid-Holland (PV),221
2012,Zuid-Holland (PV),217
2013,Zuid-Holland (PV),210
2014,Zuid-Holland (PV),199
2015,Zuid-Holland (PV),194
2016,Zuid-Holland (PV),197
2017,Zuid-Holland (PV),203
2018**,Zuid-Holland (PV),214
2019*,Zuid-Holland (PV),237
2020*,Zuid-Holland (PV),262
1997,Zeeland (PV),71
1998,Zeeland (PV),71
1999,Zeeland (PV),72
2000,Zeeland (PV),72
2001,Zeeland (PV),101
2002,Zeeland (PV),102
2003,Zeeland (PV),102
2004,Zeeland (PV),103
2005,Zeeland (PV),158
2006,Zeeland (PV),159
2007,Zeeland (PV),181
2008,Zeeland (PV),194
2009,Zeeland (PV),199
2010,Zeeland (PV),200
2011,Zeeland (PV),198
2012,Zeeland (PV),198
2013,Zeeland (PV),194
2014,Zeeland (PV),188
2015,Zeeland (PV),185
2016,Zeeland (PV),186
2017,Zeeland (PV),190
2018**,Zeeland (PV),194
2019*,Zeeland (PV),203
2020*,Zeeland (PV),213
1997,Noord-Brabant (PV),86
1998,Noord-Brabant (PV),86
1999,Noord-Brabant (PV),86
2000,Noord-Brabant (PV),86
2001,Noord-Brabant (PV),145
2002,Noord-Brabant (PV),147
2003,Noord-Brabant (PV),148
2004,Noord-Brabant (PV),149
2005,Noord-Brabant (PV),226
2006,Noord-Brabant (PV),226
2007,Noord-Brabant (PV),245
2008,Noord-Brabant (PV),261
2009,Noord-Brabant (PV),270
2010,Noord-Brabant (PV),271
2011,Noord-Brabant (PV),264
2012,Noord-Brabant (PV),257
2013,Noord-Brabant (PV),246
2014,Noord-Brabant (PV),233
2015,Noord-Brabant (PV),226
2016,Noord-Brabant (PV),226
2017,Noord-Brabant (PV),232
2018**,Noord-Brabant (PV),241
2019*,Noord-Brabant (PV),257
2020*,Noord-Brabant (PV),275
1997,Limburg (PV),82
1998,Limburg (PV),82
1999,Limburg (PV),83
2000,Limburg (PV),83
2001,Limburg (PV),131
2002,Limburg (PV),132
2003,Limburg (PV),133
2004,Limburg (PV),133
2005,Limburg (PV),179
2006,Limburg (PV),179
2007,Limburg (PV),194
2008,Limburg (PV),202
2009,Limburg (PV),206
2010,Limburg (PV),206
2011,Limburg (PV),200
2012,Limburg (PV),196
2013,Limburg (PV),189
2014,Limburg (PV),180
2015,Limburg (PV),175
2016,Limburg (PV),178
2017,Limburg (PV),182
2018**,Limburg (PV),190
2019*,Limburg (PV),200
2020*,Limburg (PV),215
1997,Aa en Hunze,
1998,Aa en Hunze,79
1999,Aa en Hunze,80
2000,Aa en Hunze,80
2001,Aa en Hunze,139
2002,Aa en Hunze,140
2003,Aa en Hunze,140
2004,Aa en Hunze,141
2005,Aa en Hunze,212
2006,Aa en Hunze,212
2007,Aa en Hunze,239
2008,Aa en Hunze,253
2009,Aa en Hunze,261
2010,Aa en Hunze,263
2011,Aa en Hunze,261
2012,Aa en Hunze,254
2013,Aa en Hunze,240
2014,Aa en Hunze,224
2015,Aa en Hunze,217
2016,Aa en Hunze,217
2017,Aa en Hunze,227
2018**,Aa en Hunze,229
2019*,Aa en Hunze,246
2020*,Aa en Hunze,261
1997,Aalburg,105
1998,Aalburg,105
1999,Aalburg,105
2000,Aalburg,109
2001,Aalburg,157
2002,Aalburg,158
2003,Aalburg,159
2004,Aalburg,159
2005,Aalburg,249
2006,Aalburg,246
2007,Aalburg,262
2008,Aalburg,277
2009,Aalburg,293
2010,Aalburg,296
2011,Aalburg,277
2012,Aalburg,274
2013,Aalburg,266
2014,Aalburg,249
2015,Aalburg,241
2016,Aalburg,240
2017,Aalburg,244
2018**,Aalburg,251
2019*,Aalburg,
2020*,Aalburg,
1997,Aalsmeer,103
1998,Aalsmeer,103
1999,Aalsmeer,103
2000,Aalsmeer,104
2001,Aalsmeer,185
2002,Aalsmeer,186
2003,Aalsmeer,188
2004,Aalsmeer,189
2005,Aalsmeer,273
2006,Aalsmeer,274
2007,Aalsmeer,282
2008,Aalsmeer,299
2009,Aalsmeer,307
2010,Aalsmeer,312
2011,Aalsmeer,311
2012,Aalsmeer,302
2013,Aalsmeer,291
2014,Aalsmeer,276
2015,Aalsmeer,277
2016,Aalsmeer,283
2017,Aalsmeer,294
2018**,Aalsmeer,304
2019*,Aalsmeer,344
2020*,Aalsmeer,367
1997,Aalten,67
1998,Aalten,67
1999,Aalten,68
2000,Aalten,68
2001,Aalten,136
2002,Aalten,136
2003,Aalten,136
2004,Aalten,137
2005,Aalten,200
2006,Aalten,200
2007,Aalten,213
2008,Aalten,224
2009,Aalten,229
2010,Aalten,231
2011,Aalten,226
2012,Aalten,217
2013,Aalten,210
2014,Aalten,194
2015,Aalten,187
2016,Aalten,184
2017,Aalten,189
2018**,Aalten,195
2019*,Aalten,206
2020*,Aalten,220
1997,Ter Aar,94
1998,Ter Aar,94
1999,Ter Aar,95
2000,Ter Aar,95
2001,Ter Aar,178
2002,Ter Aar,177
2003,Ter Aar,177
2004,Ter Aar,180
2005,Ter Aar,258
2006,Ter Aar,261
2007,Ter Aar,
2008,Ter Aar,
2009,Ter Aar,
2010,Ter Aar,
2011,Ter Aar,
2012,Ter Aar,
2013,Ter Aar,
2014,Ter Aar,
2015,Ter Aar,
2016,Ter Aar,
2017,Ter Aar,
2018**,Ter Aar,
2019*,Ter Aar,
2020*,Ter Aar,
1997,Abcoude,141
1998,Abcoude,145
1999,Abcoude,146
2000,Abcoude,146
2001,Abcoude,238
2002,Abcoude,238
2003,Abcoude,239
2004,Abcoude,238
2005,Abcoude,359
2006,Abcoude,360
2007,Abcoude,388
2008,Abcoude,415
2009,Abcoude,426
2010,Abcoude,435
2011,Abcoude,
2012,Abcoude,
2013,Abcoude,
2014,Abcoude,
2015,Abcoude,
2016,Abcoude,
2017,Abcoude,
2018**,Abcoude,
2019*,Abcoude,
2020*,Abcoude,
1997,Achtkarspelen,60
1998,Achtkarspelen,61
1999,Achtkarspelen,62
2000,Achtkarspelen,62
2001,Achtkarspelen,100
2002,Achtkarspelen,100
2003,Achtkarspelen,101
2004,Achtkarspelen,101
2005,Achtkarspelen,154
2006,Achtkarspelen,155
2007,Achtkarspelen,180
2008,Achtkarspelen,196
2009,Achtkarspelen,202
2010,Achtkarspelen,197
2011,Achtkarspelen,194
2012,Achtkarspelen,190
2013,Achtkarspelen,180
2014,Achtkarspelen,165
2015,Achtkarspelen,160
2016,Achtkarspelen,159
2017,Achtkarspelen,164
2018**,Achtkarspelen,171
2019*,Achtkarspelen,181
2020*,Achtkarspelen,191
1997,Akersloot,109
1998,Akersloot,109
1999,Akersloot,109
2000,Akersloot,109
2001,Akersloot,172
2002,Akersloot,
2003,Akersloot,
2004,Akersloot,
2005,Akersloot,
2006,Akersloot,
2007,Akersloot,
2008,Akersloot,
2009,Akersloot,
2010,Akersloot,
2011,Akersloot,
2012,Akersloot,
2013,Akersloot,
2014,Akersloot,
2015,Akersloot,
2016,Akersloot,
2017,Akersloot,
2018**,Akersloot,
2019*,Akersloot,
2020*,Akersloot,
1997,Alblasserdam,70
1998,Alblasserdam,71
1999,Alblasserdam,72
2000,Alblasserdam,72
2001,Alblasserdam,117
2002,Alblasserdam,118
2003,Alblasserdam,119
2004,Alblasserdam,120
2005,Alblasserdam,179
2006,Alblasserdam,184
2007,Alblasserdam,201
2008,Alblasserdam,217
2009,Alblasserdam,225
2010,Alblasserdam,222
2011,Alblasserdam,219
2012,Alblasserdam,215
2013,Alblasserdam,205
2014,Alblasserdam,194
2015,Alblasserdam,190
2016,Alblasserdam,194
2017,Alblasserdam,198
2018**,Alblasserdam,204
2019*,Alblasserdam,217
2020*,Alblasserdam,234
1997,Albrandswaard,98
1998,Albrandswaard,96
1999,Albrandswaard,97
2000,Albrandswaard,96
2001,Albrandswaard,154
2002,Albrandswaard,153
2003,Albrandswaard,157
2004,Albrandswaard,157
2005,Albrandswaard,241
2006,Albrandswaard,241
2007,Albrandswaard,261
2008,Albrandswaard,275
2009,Albrandswaard,284
2010,Albrandswaard,287
2011,Albrandswaard,280
2012,Albrandswaard,277
2013,Albrandswaard,266
2014,Albrandswaard,254
2015,Albrandswaard,246
2016,Albrandswaard,248
2017,Albrandswaard,254
2018**,Albrandswaard,266
2019*,Albrandswaard,287
2020*,Albrandswaard,312
1997,Alkemade,110
1998,Alkemade,108
1999,Alkemade,110
2000,Alkemade,110
2001,Alkemade,179
2002,Alkemade,180
2003,Alkemade,181
2004,Alkemade,181
2005,Alkemade,264
2006,Alkemade,264
2007,Alkemade,283
2008,Alkemade,284
2009,Alkemade,
2010,Alkemade,
2011,Alkemade,
2012,Alkemade,
2013,Alkemade,
2014,Alkemade,
2015,Alkemade,
2016,Alkemade,
2017,Alkemade,
2018**,Alkemade,
2019*,Alkemade,
2020*,Alkemade,
1997,Alkmaar,64
1998,Alkmaar,65
1999,Alkmaar,65
2000,Alkmaar,65
2001,Alkmaar,114
2002,Alkmaar,114
2003,Alkmaar,116
2004,Alkmaar,117
2005,Alkmaar,178
2006,Alkmaar,178
2007,Alkmaar,184
2008,Alkmaar,196
2009,Alkmaar,205
2010,Alkmaar,209
2011,Alkmaar,205
2012,Alkmaar,204
2013,Alkmaar,193
2014,Alkmaar,181
2015,Alkmaar,181
2016,Alkmaar,182
2017,Alkmaar,188
2018**,Alkmaar,202
2019*,Alkmaar,222
2020*,Alkmaar,245
1997,Almelo,53
1998,Almelo,54
1999,Almelo,55
2000,Almelo,55
2001,Almelo,95
2002,Almelo,95
2003,Almelo,97
2004,Almelo,97
2005,Almelo,147
2006,Almelo,149
2007,Almelo,160
2008,Almelo,175
2009,Almelo,180
2010,Almelo,178
2011,Almelo,177
2012,Almelo,172
2013,Almelo,164
2014,Almelo,154
2015,Almelo,150
2016,Almelo,152
2017,Almelo,153
2018**,Almelo,160
2019*,Almelo,168
2020*,Almelo,183
1997,Almere,80
1998,Almere,81
1999,Almere,82
2000,Almere,82
2001,Almere,118
2002,Almere,121
2003,Almere,121
2004,Almere,122
2005,Almere,182
2006,Almere,180
2007,Almere,189
2008,Almere,194
2009,Almere,198
2010,Almere,199
2011,Almere,199
2012,Almere,195
2013,Almere,191
2014,Almere,183
2015,Almere,180
2016,Almere,181
2017,Almere,187
2018**,Almere,198
2019*,Almere,219
2020*,Almere,249
1997,Alphen aan den Rijn,78
1998,Alphen aan den Rijn,79
1999,Alphen aan den Rijn,79
2000,Alphen aan den Rijn,80
2001,Alphen aan den Rijn,134
2002,Alphen aan den Rijn,134
2003,Alphen aan den Rijn,135
2004,Alphen aan den Rijn,136
2005,Alphen aan den Rijn,202
2006,Alphen aan den Rijn,203
2007,Alphen aan den Rijn,219
2008,Alphen aan den Rijn,230
2009,Alphen aan den Rijn,240
2010,Alphen aan den Rijn,241
2011,Alphen aan den Rijn,238
2012,Alphen aan den Rijn,234
2013,Alphen aan den Rijn,225
2014,Alphen aan den Rijn,220
2015,Alphen aan den Rijn,217
2016,Alphen aan den Rijn,215
2017,Alphen aan den Rijn,219
2018**,Alphen aan den Rijn,231
2019*,Alphen aan den Rijn,245
2020*,Alphen aan den Rijn,264
1997,Alphen-Chaam,122
1998,Alphen-Chaam,122
1999,Alphen-Chaam,122
2000,Alphen-Chaam,123
2001,Alphen-Chaam,202
2002,Alphen-Chaam,202
2003,Alphen-Chaam,204
2004,Alphen-Chaam,204
2005,Alphen-Chaam,312
2006,Alphen-Chaam,311
2007,Alphen-Chaam,326
2008,Alphen-Chaam,338
2009,Alphen-Chaam,348
2010,Alphen-Chaam,344
2011,Alphen-Chaam,330
2012,Alphen-Chaam,322
2013,Alphen-Chaam,302
2014,Alphen-Chaam,290
2015,Alphen-Chaam,289
2016,Alphen-Chaam,289
2017,Alphen-Chaam,297
2018**,Alphen-Chaam,307
2019*,Alphen-Chaam,322
2020*,Alphen-Chaam,340
1997,Altena,
1998,Altena,
1999,Altena,
2000,Altena,
2001,Altena,
2002,Altena,
2003,Altena,
2004,Altena,
2005,Altena,
2006,Altena,
2007,Altena,
2008,Altena,
2009,Altena,
2010,Altena,
2011,Altena,
2012,Altena,
2013,Altena,
2014,Altena,
2015,Altena,
2016,Altena,
2017,Altena,
2018**,Altena,
2019*,Altena,254
2020*,Altena,271
1997,Ambt Delden,94
1998,Ambt Delden,92
1999,Ambt Delden,93
2000,Ambt Delden,94
2001,Ambt Delden,
2002,Ambt Delden,
2003,Ambt Delden,
2004,Ambt Delden,
2005,Ambt Delden,
2006,Ambt Delden,
2007,Ambt Delden,
2008,Ambt Delden,
2009,Ambt Delden,
2010,Ambt Delden,
2011,Ambt Delden,
2012,Ambt Delden,
2013,Ambt Delden,
2014,Ambt Delden,
2015,Ambt Delden,
2016,Ambt Delden,
2017,Ambt Delden,
2018**,Ambt Delden,
2019*,Ambt Delden,
2020*,Ambt Delden,
1997,Ambt Montfort,97
1998,Ambt Montfort,97
1999,Ambt Montfort,98
2000,Ambt Montfort,98
2001,Ambt Montfort,149
2002,Ambt Montfort,149
2003,Ambt Montfort,150
2004,Ambt Montfort,150
2005,Ambt Montfort,202
2006,Ambt Montfort,202
2007,Ambt Montfort,
2008,Ambt Montfort,
2009,Ambt Montfort,
2010,Ambt Montfort,
2011,Ambt Montfort,
2012,Ambt Montfort,
2013,Ambt Montfort,
2014,Ambt Montfort,
2015,Ambt Montfort,
2016,Ambt Montfort,
2017,Ambt Montfort,
2018**,Ambt Montfort,
2019*,Ambt Montfort,
2020*,Ambt Montfort,
1997,Ameland,78
1998,Ameland,77
1999,Ameland,78
2000,Ameland,79
2001,Ameland,123
2002,Ameland,121
2003,Ameland,122
2004,Ameland,122
2005,Ameland,187
2006,Ameland,186
2007,Ameland,201
2008,Ameland,213
2009,Ameland,220
2010,Ameland,220
2011,Ameland,223
2012,Ameland,221
2013,Ameland,210
2014,Ameland,201
2015,Ameland,196
2016,Ameland,221
2017,Ameland,227
2018**,Ameland,238
2019*,Ameland,247
2020*,Ameland,253
1997,Amerongen,121
1998,Amerongen,121
1999,Amerongen,120
2000,Amerongen,120
2001,Amerongen,177
2002,Amerongen,
2003,Amerongen,
2004,Amerongen,
2005,Amerongen,
2006,Amerongen,
2007,Amerongen,
2008,Amerongen,
2009,Amerongen,
2010,Amerongen,
2011,Amerongen,
2012,Amerongen,
2013,Amerongen,
2014,Amerongen,
2015,Amerongen,
2016,Amerongen,
2017,Amerongen,
2018**,Amerongen,
2019*,Amerongen,
2020*,Amerongen,
1997,Amersfoort,92
1998,Amersfoort,92
1999,Amersfoort,93
2000,Amersfoort,93
2001,Amersfoort,146
2002,Amersfoort,147
2003,Amersfoort,148
2004,Amersfoort,149
2005,Amersfoort,212
2006,Amersfoort,215
2007,Amersfoort,229
2008,Amersfoort,247
2009,Amersfoort,260
2010,Amersfoort,258
2011,Amersfoort,251
2012,Amersfoort,247
2013,Amersfoort,235
2014,Amersfoort,222
2015,Amersfoort,217
2016,Amersfoort,223
2017,Amersfoort,234
2018**,Amersfoort,254
2019*,Amersfoort,281
2020*,Amersfoort,305
1997,Ammerzoden,85
1998,Ammerzoden,85
1999,Ammerzoden,
2000,Ammerzoden,
2001,Ammerzoden,
2002,Ammerzoden,
2003,Ammerzoden,
2004,Ammerzoden,
2005,Ammerzoden,
2006,Ammerzoden,
2007,Ammerzoden,
2008,Ammerzoden,
2009,Ammerzoden,
2010,Ammerzoden,
2011,Ammerzoden,
2012,Ammerzoden,
2013,Ammerzoden,
2014,Ammerzoden,
2015,Ammerzoden,
2016,Ammerzoden,
2017,Ammerzoden,
2018**,Ammerzoden,
2019*,Ammerzoden,
2020*,Ammerzoden,
1997,Amstelveen,97
1998,Amstelveen,97
1999,Amstelveen,97
2000,Amstelveen,97
2001,Amstelveen,175
2002,Amstelveen,175
2003,Amstelveen,177
2004,Amstelveen,177
2005,Amstelveen,250
2006,Amstelveen,251
2007,Amstelveen,265
2008,Amstelveen,288
2009,Amstelveen,307
2010,Amstelveen,306
2011,Amstelveen,302
2012,Amstelveen,299
2013,Amstelveen,283
2014,Amstelveen,268
2015,Amstelveen,268
2016,Amstelveen,282
2017,Amstelveen,310
2018**,Amstelveen,342
2019*,Amstelveen,389
2020*,Amstelveen,418
1997,Amsterdam,60
1998,Amsterdam,61
1999,Amsterdam,62
2000,Amsterdam,62
2001,Amsterdam,133
2002,Amsterdam,133
2003,Amsterdam,134
2004,Amsterdam,135
2005,Amsterdam,204
2006,Amsterdam,204
2007,Amsterdam,204
2008,Amsterdam,231
2009,Amsterdam,259
2010,Amsterdam,261
2011,Amsterdam,248
2012,Amsterdam,249
2013,Amsterdam,240
2014,Amsterdam,230
2015,Amsterdam,232
2016,Amsterdam,251
2017,Amsterdam,291
2018**,Amsterdam,340
2019*,Amsterdam,378
2020*,Amsterdam,418
1997,Andijk,85
1998,Andijk,85
1999,Andijk,85
2000,Andijk,86
2001,Andijk,125
2002,Andijk,127
2003,Andijk,127
2004,Andijk,127
2005,Andijk,204
2006,Andijk,204
2007,Andijk,223
2008,Andijk,228
2009,Andijk,236
2010,Andijk,235
2011,Andijk,
2012,Andijk,
2013,Andijk,
2014,Andijk,
2015,Andijk,
2016,Andijk,
2017,Andijk,
2018**,Andijk,
2019*,Andijk,
2020*,Andijk,
1997,Angerlo,97
1998,Angerlo,97
1999,Angerlo,97
2000,Angerlo,97
2001,Angerlo,153
2002,Angerlo,
2003,Angerlo,
2004,Angerlo,
2005,Angerlo,
2006,Angerlo,
2007,Angerlo,
2008,Angerlo,
2009,Angerlo,
2010,Angerlo,
2011,Angerlo,
2012,Angerlo,
2013,Angerlo,
2014,Angerlo,
2015,Angerlo,
2016,Angerlo,
2017,Angerlo,
2018**,Angerlo,
2019*,Angerlo,
2020*,Angerlo,
1997,Anloo,76
1998,Anloo,
1999,Anloo,
2000,Anloo,
2001,Anloo,
2002,Anloo,
2003,Anloo,
2004,Anloo,
2005,Anloo,
2006,Anloo,
2007,Anloo,
2008,Anloo,
2009,Anloo,
2010,Anloo,
2011,Anloo,
2012,Anloo,
2013,Anloo,
2014,Anloo,
2015,Anloo,
2016,Anloo,
2017,Anloo,
2018**,Anloo,
2019*,Anloo,
2020*,Anloo,
1997,Anna Paulowna,79
1998,Anna Paulowna,78
1999,Anna Paulowna,79
2000,Anna Paulowna,79
2001,Anna Paulowna,132
2002,Anna Paulowna,130
2003,Anna Paulowna,130
2004,Anna Paulowna,132
2005,Anna Paulowna,193
2006,Anna Paulowna,194
2007,Anna Paulowna,206
2008,Anna Paulowna,223
2009,Anna Paulowna,230
2010,Anna Paulowna,230
2011,Anna Paulowna,228
2012,Anna Paulowna,
2013,Anna Paulowna,
2014,Anna Paulowna,
2015,Anna Paulowna,
2016,Anna Paulowna,
2017,Anna Paulowna,
2018**,Anna Paulowna,
2019*,Anna Paulowna,
2020*,Anna Paulowna,
1997,Apeldoorn,85
1998,Apeldoorn,85
1999,Apeldoorn,85
2000,Apeldoorn,86
2001,Apeldoorn,143
2002,Apeldoorn,144
2003,Apeldoorn,145
2004,Apeldoorn,146
2005,Apeldoorn,216
2006,Apeldoorn,217
2007,Apeldoorn,236
2008,Apeldoorn,253
2009,Apeldoorn,257
2010,Apeldoorn,258
2011,Apeldoorn,247
2012,Apeldoorn,240
2013,Apeldoorn,225
2014,Apeldoorn,208
2015,Apeldoorn,203
2016,Apeldoorn,204
2017,Apeldoorn,209
2018**,Apeldoorn,223
2019*,Apeldoorn,243
2020*,Apeldoorn,262
1997,Appingedam,52
1998,Appingedam,52
1999,Appingedam,52
2000,Appingedam,53
2001,Appingedam,74
2002,Appingedam,74
2003,Appingedam,76
2004,Appingedam,77
2005,Appingedam,117
2006,Appingedam,118
2007,Appingedam,137
2008,Appingedam,145
2009,Appingedam,150
2010,Appingedam,152
2011,Appingedam,156
2012,Appingedam,154
2013,Appingedam,149
2014,Appingedam,142
2015,Appingedam,134
2016,Appingedam,131
2017,Appingedam,133
2018**,Appingedam,138
2019*,Appingedam,144
2020*,Appingedam,154
1997,Arcen en Velden,102
1998,Arcen en Velden,103
1999,Arcen en Velden,102
2000,Arcen en Velden,103
2001,Arcen en Velden,154
2002,Arcen en Velden,154
2003,Arcen en Velden,155
2004,Arcen en Velden,156
2005,Arcen en Velden,219
2006,Arcen en Velden,220
2007,Arcen en Velden,237
2008,Arcen en Velden,246
2009,Arcen en Velden,247
2010,Arcen en Velden,
2011,Arcen en Velden,
2012,Arcen en Velden,
2013,Arcen en Velden,
2014,Arcen en Velden,
2015,Arcen en Velden,
2016,Arcen en Velden,
2017,Arcen en Velden,
2018**,Arcen en Velden,
2019*,Arcen en Velden,
2020*,Arcen en Velden,
1997,Arnhem,69
1998,Arnhem,69
1999,Arnhem,69
2000,Arnhem,69
2001,Arnhem,111
2002,Arnhem,112
2003,Arnhem,112
2004,Arnhem,112
2005,Arnhem,167
2006,Arnhem,166
2007,Arnhem,180
2008,Arnhem,189
2009,Arnhem,199
2010,Arnhem,202
2011,Arnhem,192
2012,Arnhem,190
2013,Arnhem,183
2014,Arnhem,173
2015,Arnhem,169
2016,Arnhem,169
2017,Arnhem,175
2018**,Arnhem,187
2019*,Arnhem,204
2020*,Arnhem,217
1997,Assen,66
1998,Assen,68
1999,Assen,68
2000,Assen,69
2001,Assen,94
2002,Assen,95
2003,Assen,97
2004,Assen,98
2005,Assen,148
2006,Assen,149
2007,Assen,161
2008,Assen,173
2009,Assen,181
2010,Assen,182
