,Onderwerp,Totale woningvoorraad,Totale woningvoorraad,Totale woningvoorraad
,Status van bewoning,Totaal,Bewoonde woningen,Niet bewoonde woningen
Regio's,Perioden,aantal,aantal,aantal
Noord-Brabant (PV),2021,1151426,1111215,40211
Noord-Brabant (PV),2022,1164414,1125444,38970
Noord-Brabant (PV),2023,1178274,1137172,41102
Limburg (PV),2012,510025,478598,31427
Limburg (PV),2013,514028,483449,30579
Limburg (PV),2014,520664,489315,31349
Limburg (PV),2015,523368,493615,29753
Limburg (PV),2016,524633,496264,28369
Limburg (PV),2017,527097,499234,27863
Limburg (PV),2018,529301,502321,26980
Limburg (PV),2019,531082,504718,26364
Limburg (PV),2020,533231,507432,25799
Limburg (PV),2021,536617,510212,26405
Limburg (PV),2022,540435,515266,25169
Limburg (PV),2023,544760,518487,26273
Aa en Hunze,2012,12414,10526,1888
Aa en Hunze,2013,11214,10412,802
Aa en Hunze,2014,11173,10552,621
Aa en Hunze,2015,11150,10550,600
Aa en Hunze,2016,11131,10589,542
Aa en Hunze,2017,11145,10602,543
Aa en Hunze,2018,11165,10605,560
Aa en Hunze,2019,11257,10676,581
Aa en Hunze,2020,11179,10761,418
Aa en Hunze,2021,11207,10803,404
Aa en Hunze,2022,11336,10937,399
Aa en Hunze,2023,11428,10962,466
Aalburg,2012,4769,4477,292
Aalburg,2013,4857,4546,311
Aalburg,2014,4971,4623,348
Aalburg,2015,5020,4691,329
Aalburg,2016,5031,4708,323
Aalburg,2017,5071,4759,312
Aalburg,2018,5109,4824,285
Aalburg,2019,,,
Aalburg,2020,,,
Aalburg,2021,,,
Aalburg,2022,,,
Aalburg,2023,,,
Aalsmeer,2012,12267,11616,651
Aalsmeer,2013,12354,11711,643
Aalsmeer,2014,12780,12032,748
Aalsmeer,2015,12803,12149,654
Aalsmeer,2016,12893,12305,588
Aalsmeer,2017,12919,12362,557
Aalsmeer,2018,12888,12417,471
Aalsmeer,2019,13091,12569,522
Aalsmeer,2020,13217,12682,535
Aalsmeer,2021,13284,12745,539
Aalsmeer,2022,13368,12870,498
Aalsmeer,2023,13460,12915,545
Aalten,2012,11504,10816,688
Aalten,2013,11451,10924,527
Aalten,2014,11687,11043,644
Aalten,2015,11775,11192,583
Aalten,2016,11811,11298,513
Aalten,2017,11872,11354,518
Aalten,2018,11922,11387,535
Aalten,2019,11971,11486,485
Aalten,2020,11976,11591,385
Aalten,2021,12028,11633,395
Aalten,2022,12095,11713,382
Aalten,2023,12164,11758,406
Achtkarspelen,2012,11663,11277,386
Achtkarspelen,2013,11711,11354,357
Achtkarspelen,2014,11894,11520,374
Achtkarspelen,2015,11917,11573,344
Achtkarspelen,2016,11946,11635,311
Achtkarspelen,2017,12028,11667,361
Achtkarspelen,2018,12075,11729,346
Achtkarspelen,2019,12118,11757,361
Achtkarspelen,2020,12129,11789,340
Achtkarspelen,2021,12181,11863,318
Achtkarspelen,2022,12264,11915,349
Achtkarspelen,2023,12289,11931,358
Alblasserdam,2012,8083,7720,363
Alblasserdam,2013,8111,7799,312
Alblasserdam,2014,8122,7838,284
Alblasserdam,2015,8138,7869,269
Alblasserdam,2016,8220,7939,281
Alblasserdam,2017,8252,7963,289
Alblasserdam,2018,8276,8011,265
Alblasserdam,2019,8324,8048,276
Alblasserdam,2020,8353,8090,263
Alblasserdam,2021,8408,8112,296
Alblasserdam,2022,8415,8141,274
Alblasserdam,2023,8449,8170,279
Albrandswaard,2012,9822,9448,374
Albrandswaard,2013,10059,9739,320
Albrandswaard,2014,10165,9778,387
Albrandswaard,2015,10167,9816,351
Albrandswaard,2016,10208,9875,333
Albrandswaard,2017,10286,9935,351
Albrandswaard,2018,10333,9970,363
Albrandswaard,2019,10347,10022,325
Albrandswaard,2020,10517,10161,356
Albrandswaard,2021,10573,10218,355
Albrandswaard,2022,10622,10280,342
Albrandswaard,2023,10730,10390,340
Alkmaar,2012,43703,42100,1603
Alkmaar,2013,44049,42290,1759
Alkmaar,2014,44884,43098,1786
Alkmaar,2015,50076,48102,1974
Alkmaar,2016,50346,48422,1924
Alkmaar,2017,50513,48757,1756
Alkmaar,2018,50830,49168,1662
Alkmaar,2019,51127,49408,1719
Alkmaar,2020,51339,49723,1616
Alkmaar,2021,51656,49957,1699
Alkmaar,2022,52941,51107,1834
Alkmaar,2023,53417,51684,1733
Almelo,2012,31995,30372,1623
Almelo,2013,32117,30599,1518
Almelo,2014,32159,30591,1568
Almelo,2015,32281,30709,1572
Almelo,2016,32417,30871,1546
Almelo,2017,32859,31239,1620
Almelo,2018,32988,31556,1432
Almelo,2019,33472,32018,1454
Almelo,2020,33549,32102,1447
Almelo,2021,33827,32337,1490
Almelo,2022,33917,32531,1386
Almelo,2023,34067,32619,1448
Almere,2012,76755,74544,2211
Almere,2013,77609,75346,2263
Almere,2014,78330,76329,2001
Almere,2015,78974,77058,1916
Almere,2016,79721,77991,1730
Almere,2017,80582,78913,1669
Almere,2018,82312,80543,1769
Almere,2019,84161,82288,1873
Almere,2020,85977,83832,2145
Almere,2021,87259,85103,2156
Almere,2022,88874,86880,1994
Almere,2023,90690,88296,2394
Alphen aan den Rijn,2012,31005,29947,1058
Alphen aan den Rijn,2013,31280,30290,990
Alphen aan den Rijn,2014,45433,43952,1481
Alphen aan den Rijn,2015,45753,44424,1329
Alphen aan den Rijn,2016,45968,44695,1273
Alphen aan den Rijn,2017,46723,45296,1427
Alphen aan den Rijn,2018,47099,45792,1307
Alphen aan den Rijn,2019,47753,46522,1231
Alphen aan den Rijn,2020,48178,46959,1219
Alphen aan den Rijn,2021,48893,47655,1238
Alphen aan den Rijn,2022,49398,48046,1352
Alphen aan den Rijn,2023,50031,48676,1355
Alphen-Chaam,2012,3936,3587,349
Alphen-Chaam,2013,3984,3679,305
Alphen-Chaam,2014,4050,3755,295
Alphen-Chaam,2015,4149,3860,289
Alphen-Chaam,2016,4214,3944,270
Alphen-Chaam,2017,4254,3978,276
Alphen-Chaam,2018,4280,4005,275
Alphen-Chaam,2019,4342,4065,277
Alphen-Chaam,2020,4371,4111,260
Alphen-Chaam,2021,4432,4186,246
Alphen-Chaam,2022,4508,4230,278
Alphen-Chaam,2023,4517,4274,243
Altena,2012,,,
Altena,2013,,,
Altena,2014,,,
Altena,2015,,,
Altena,2016,,,
Altena,2017,,,
Altena,2018,,,
Altena,2019,22221,21328,893
Altena,2020,22399,21591,808
Altena,2021,22587,21786,801
Altena,2022,22846,22101,745
Altena,2023,23200,22339,861
Ameland,2012,1547,1362,185
Ameland,2013,1568,1385,183
Ameland,2014,1657,1446,211
Ameland,2015,1670,1452,218
Ameland,2016,1674,1451,223
Ameland,2017,1686,1478,208
Ameland,2018,1712,1496,216
Ameland,2019,1731,1505,226
Ameland,2020,1737,1510,227
Ameland,2021,1753,1542,211
Ameland,2022,1778,1555,223
Ameland,2023,1859,1619,240
Amersfoort,2012,63442,60364,3078
Amersfoort,2013,63856,61364,2492
Amersfoort,2014,64455,62127,2328
Amersfoort,2015,64833,62846,1987
Amersfoort,2016,65289,63444,1845
Amersfoort,2017,66034,63977,2057
Amersfoort,2018,66530,64631,1899
Amersfoort,2019,67181,65563,1618
Amersfoort,2020,67722,66130,1592
Amersfoort,2021,68809,66881,1928
Amersfoort,2022,69962,68027,1935
Amersfoort,2023,70722,68753,1969
Amstelveen,2012,41304,38728,2576
Amstelveen,2013,41616,39166,2450
Amstelveen,2014,42395,39607,2788
Amstelveen,2015,42736,40292,2444
Amstelveen,2016,43045,40830,2215
Amstelveen,2017,41649,38959,2690
Amstelveen,2018,41782,38927,2855
Amstelveen,2019,42035,39422,2613
Amstelveen,2020,42310,39604,2706
Amstelveen,2021,42251,39410,2841
Amstelveen,2022,42402,39938,2464
Amstelveen,2023,42880,40556,2324
Amsterdam,2012,408888,378307,30581
Amsterdam,2013,411127,381998,29129
Amsterdam,2014,413697,386213,27484
Amsterdam,2015,416966,390430,26536
Amsterdam,2016,424390,396944,27446
Amsterdam,2017,428035,400716,27319
Amsterdam,2018,432715,404626,28089
Amsterdam,2019,441490,411565,29925
Amsterdam,2020,447351,418356,28995
Amsterdam,2021,449989,419308,30681
Amsterdam,2022,458397,427966,30431
Amsterdam,2023,474866,445528,29338
Apeldoorn,2012,67968,64410,3558
Apeldoorn,2013,68319,64967,3352
Apeldoorn,2014,69507,66402,3105
Apeldoorn,2015,69804,66935,2869
Apeldoorn,2016,70615,67733,2882
Apeldoorn,2017,71050,68180,2870
Apeldoorn,2018,71526,68869,2657
Apeldoorn,2019,72445,69717,2728
Apeldoorn,2020,73244,70605,2639
Apeldoorn,2021,74184,71400,2784
Apeldoorn,2022,74603,72133,2470
Apeldoorn,2023,75096,72656,2440
Appingedam,2012,5732,5427,305
Appingedam,2013,5785,5429,356
Appingedam,2014,5840,5518,322
Appingedam,2015,5850,5574,276
Appingedam,2016,5881,5622,259
Appingedam,2017,5899,5647,252
Appingedam,2018,5925,5638,287
Appingedam,2019,6032,5621,411
Appingedam,2020,6042,5639,403
Appingedam,2021,,,
Appingedam,2022,,,
Appingedam,2023,,,
Arnhem,2012,69605,66270,3335
Arnhem,2013,70571,67029,3542
Arnhem,2014,71114,67721,3393
Arnhem,2015,71962,68511,3451
Arnhem,2016,72711,69371,3340
Arnhem,2017,73640,70382,3258
Arnhem,2018,74416,71524,2892
Arnhem,2019,75632,72794,2838
Arnhem,2020,76737,73862,2875
Arnhem,2021,77839,74875,2964
Arnhem,2022,79065,76177,2888
Arnhem,2023,79817,76850,2967
Assen,2012,29854,28781,1073
Assen,2013,30183,28903,1280
Assen,2014,30539,29216,1323
Assen,2015,30737,29413,1324
Assen,2016,30691,29662,1029
Assen,2017,30995,29945,1050
Assen,2018,31424,30211,1213
Assen,2019,31570,30565,1005
Assen,2020,32154,31093,1061
Assen,2021,32538,31411,1127
Assen,2022,32680,31691,989
Assen,2023,32998,31952,1046
Asten,2012,6337,6127,210
Asten,2013,6464,6238,226
Asten,2014,6662,6441,221
Asten,2015,6698,6530,168
Asten,2016,6717,6568,149
Asten,2017,6768,6618,150
Asten,2018,6803,6635,168
Asten,2019,6853,6684,169
Asten,2020,6899,6717,182
Asten,2021,7069,6834,235
Asten,2022,7146,6934,212
Asten,2023,7225,7019,206
Baarle-Nassau,2012,2681,2491,190
Baarle-Nassau,2013,2706,2496,210
Baarle-Nassau,2014,2727,2497,230
Baarle-Nassau,2015,2744,2523,221
Baarle-Nassau,2016,2746,2529,217
Baarle-Nassau,2017,2770,2546,224
Baarle-Nassau,2018,2832,2619,213
Baarle-Nassau,2019,2852,2655,197
Baarle-Nassau,2020,2875,2684,191
Baarle-Nassau,2021,2916,2715,201
Baarle-Nassau,2022,2955,2755,200
Baarle-Nassau,2023,2962,2793,169
Baarn,2012,11071,10334,737
Baarn,2013,11228,10311,917
Baarn,2014,11439,10449,990
Baarn,2015,11586,10615,971
Baarn,2016,11586,10684,902
Baarn,2017,11676,10706,970
Baarn,2018,11564,10786,778
Baarn,2019,11647,10872,775
Baarn,2020,11679,10960,719
Baarn,2021,11700,11021,679
Baarn,2022,11766,11040,726
Baarn,2023,11790,11054,736
Barendrecht,2012,18421,17869,552
Barendrecht,2013,18760,18192,568
Barendrecht,2014,18806,18218,588
Barendrecht,2015,18867,18333,534
Barendrecht,2016,18918,18469,449
Barendrecht,2017,19131,18682,449
Barendrecht,2018,19184,18776,408
Barendrecht,2019,19256,18855,401
Barendrecht,2020,19416,18965,451
Barendrecht,2021,19433,18990,443
Barendrecht,2022,19594,19101,493
Barendrecht,2023,19750,19271,479
Barneveld,2012,19699,18718,981
Barneveld,2013,19835,18886,949
Barneveld,2014,20118,19157,961
Barneveld,2015,20598,19619,979
Barneveld,2016,20938,20057,881
Barneveld,2017,21330,20443,887
Barneveld,2018,21926,20978,948
Barneveld,2019,22249,21289,960
Barneveld,2020,22799,21870,929
Barneveld,2021,23146,22221,925
Barneveld,2022,23379,22482,897
Barneveld,2023,23576,22639,937
Bedum,2012,4424,4252,172
Bedum,2013,4464,4282,182
Bedum,2014,4500,4320,180
Bedum,2015,4529,4328,201
Bedum,2016,4570,4375,195
Bedum,2017,4569,4424,145
Bedum,2018,4614,4452,162
Bedum,2019,,,
Bedum,2020,,,
Bedum,2021,,,
Bedum,2022,,,
Bedum,2023,,,
Beek (L.),2012,7360,7119,241
Beek (L.),2013,7373,7102,271
Beek (L.),2014,7417,7115,302
Beek (L.),2015,7416,7157,259
Beek (L.),2016,7415,7163,252
Beek (L.),2017,7410,7153,257
Beek (L.),2018,7424,7166,258
Beek (L.),2019,7485,7228,257
Beek (L.),2020,7488,7203,285
Beek (L.),2021,7496,7245,251
Beek (L.),2022,7505,7287,218
Beek (L.),2023,7547,7308,239
Beekdaelen,2012,,,
Beekdaelen,2013,,,
Beekdaelen,2014,,,
Beekdaelen,2015,,,
Beekdaelen,2016,,,
Beekdaelen,2017,,,
Beekdaelen,2018,,,
Beekdaelen,2019,16635,15678,957
Beekdaelen,2020,16635,15771,864
Beekdaelen,2021,16711,15819,892
Beekdaelen,2022,16722,15867,855
Beekdaelen,2023,16765,15904,861
Beemster,2012,3422,3298,124
Beemster,2013,3432,3324,108
Beemster,2014,3635,3503,132
Beemster,2015,3641,3514,127
Beemster,2016,3657,3539,118
Beemster,2017,3790,3658,132
Beemster,2018,3836,3718,118
Beemster,2019,3941,3815,126
Beemster,2020,4036,3898,138
Beemster,2021,4051,3914,137
Beemster,2022,,,
Beemster,2023,,,
Beesel,2012,5939,5719,220
Beesel,2013,5925,5703,222
Beesel,2014,5904,5720,184
Beesel,2015,5911,5706,205
Beesel,2016,5882,5711,171
Beesel,2017,5888,5735,153
Beesel,2018,5946,5788,158
Beesel,2019,5959,5821,138
Beesel,2020,5965,5830,135
Beesel,2021,6040,5883,157
Beesel,2022,6067,5933,134
Beesel,2023,6095,5951,144
Bellingwedde,2012,4168,3880,288
Bellingwedde,2013,4136,3893,243
Bellingwedde,2014,4136,3888,248
Bellingwedde,2015,4128,3881,247
Bellingwedde,2016,4116,3879,237
Bellingwedde,2017,4117,3897,220
Bellingwedde,2018,,,
Bellingwedde,2019,,,
Bellingwedde,2020,,,
Bellingwedde,2021,,,
Bellingwedde,2022,,,
Bellingwedde,2023,,,
Berg en Dal,2012,,,
Berg en Dal,2013,,,
Berg en Dal,2014,,,
Berg en Dal,2015,,,
Berg en Dal,2016,15283,14619,664
Berg en Dal,2017,15397,14832,565
Berg en Dal,2018,15519,14984,535
Berg en Dal,2019,15645,15075,570
Berg en Dal,2020,15802,15280,522
Berg en Dal,2021,15854,15386,468
Berg en Dal,2022,15920,15437,483
Berg en Dal,2023,16082,15511,571
Bergambacht,2012,3942,3675,267
Bergambacht,2013,4019,3799,220
Bergambacht,2014,4142,3892,250
Bergambacht,2015,,,
Bergambacht,2016,,,
Bergambacht,2017,,,
Bergambacht,2018,,,
Bergambacht,2019,,,
Bergambacht,2020,,,
Bergambacht,2021,,,
Bergambacht,2022,,,
Bergambacht,2023,,,
Bergeijk,2012,7456,7057,399
Bergeijk,2013,7573,7166,407
Bergeijk,2014,7653,7250,403
Bergeijk,2015,7679,7318,361
Bergeijk,2016,7742,7371,371
Bergeijk,2017,7770,7443,327
Bergeijk,2018,7810,7495,315
Bergeijk,2019,7870,7540,330
Bergeijk,2020,7970,7638,332
Bergeijk,2021,8027,7700,327
Bergeijk,2022,8161,7828,333
Bergeijk,2023,8225,7869,356
Bergen (L.),2012,5480,5278,202
Bergen (L.),2013,5497,5286,211
Bergen (L.),2014,5552,5343,209
Bergen (L.),2015,5594,5366,228
Bergen (L.),2016,5619,5402,217
Bergen (L.),2017,5669,5448,221
Bergen (L.),2018,5683,5469,214
Bergen (L.),2019,5723,5525,198
Bergen (L.),2020,5760,5543,217
Bergen (L.),2021,5793,5568,225
Bergen (L.),2022,5802,5592,210
Bergen (L.),2023,5836,5626,210
Bergen (NH.),2012,14658,12871,1787
Bergen (NH.),2013,14635,12881,1754
Bergen (NH.),2014,14988,13253,1735
Bergen (NH.),2015,14986,13276,1710
Bergen (NH.),2016,14976,13366,1610
Bergen (NH.),2017,14992,13409,1583
Bergen (NH.),2018,15113,13517,1596
Bergen (NH.),2019,15209,13610,1599
Bergen (NH.),2020,15344,13735,1609
Bergen (NH.),2021,15353,13760,1593
Bergen (NH.),2022,15383,13832,1551
Bergen (NH.),2023,15473,13903,1570
Bergen op Zoom,2012,29604,27846,1758
Bergen op Zoom,2013,29739,28143,1596
Bergen op Zoom,2014,29887,28301,1586
Bergen op Zoom,2015,30010,28386,1624
Bergen op Zoom,2016,29738,28424,1314
Bergen op Zoom,2017,29916,28503,1413
Bergen op Zoom,2018,30047,28748,1299
Bergen op Zoom,2019,30380,29048,1332
Bergen op Zoom,2020,30884,29498,1386
Bergen op Zoom,2021,30921,29567,1354
Bergen op Zoom,2022,31172,29751,1421
Bergen op Zoom,2023,31501,30021,1480
Berkelland,2012,18879,17944,935
Berkelland,2013,19205,18181,1024
Berkelland,2014,19390,18292,1098
Berkelland,2015,19299,18452,847
Berkelland,2016,19466,18590,876
Berkelland,2017,19458,18639,819
Berkelland,2018,19492,18741,751
Berkelland,2019,19541,18790,751
Berkelland,2020,19525,18833,692
Berkelland,2021,19594,18986,608
Berkelland,2022,19721,19102,619
Berkelland,2023,19840,19122,718
Bernheze,2012,11307,10882,425
Bernheze,2013,11368,10966,402
Bernheze,2014,11941,11321,620
Bernheze,2015,12000,11363,637
Bernheze,2016,12044,11451,593
Bernheze,2017,12059,11534,525
Bernheze,2018,12301,11764,537
Bernheze,2019,12451,11928,523
Bernheze,2020,12714,12238,476
Bernheze,2021,12798,12360,438
Bernheze,2022,12943,12529,414
Bernheze,2023,13107,12679,428
Bernisse,2012,5378,5103,275
Bernisse,2013,5499,5156,343
Bernisse,2014,5517,5183,334
Bernisse,2015,,,
Bernisse,2016,,,
Bernisse,2017,,,
Bernisse,2018,,,
Bernisse,2019,,,
Bernisse,2020,,,
Bernisse,2021,,,
Bernisse,2022,,,
Bernisse,2023,,,
Best,2012,11703,11310,393
Best,2013,11769,11403,366
Best,2014,11965,11519,446
Best,2015,11952,11641,311
Best,2016,12031,11749,282
Best,2017,12326,11895,431
Best,2018,12353,12026,327
Best,2019,12535,12206,329
Best,2020,12698,12372,326
Best,2021,12977,12588,389
Best,2022,13199,12836,363
Best,2023,13337,12982,355
Beuningen,2012,10374,10062,312
Beuningen,2013,10365,10092,273
Beuningen,2014,10538,10222,316
Beuningen,2015,10581,10294,287
Beuningen,2016,10667,10370,297
Beuningen,2017,10829,10484,345
Beuningen,2018,11043,10737,306
Beuningen,2019,11090,10811,279
Beuningen,2020,11137,10892,245
Beuningen,2021,11262,11054,208
Beuningen,2022,11346,11132,214
Beuningen,2023,11391,11171,220
Beverwijk,2012,18325,17352,973
Beverwijk,2013,18483,17457,1026
Beverwijk,2014,18736,17745,991
Beverwijk,2015,18760,17790,970
Beverwijk,2016,18846,17952,894
Beverwijk,2017,19106,18185,921
Beverwijk,2018,19189,18270,919
Beverwijk,2019,19280,18327,953
Beverwijk,2020,19403,18536,867
Beverwijk,2021,19511,18638,873
Beverwijk,2022,19628,18799,829
Beverwijk,2023,19906,19054,852
het Bildt,2012,4539,4268,271
het Bildt,2013,4496,4234,262
het Bildt,2014,4559,4258,301
het Bildt,2015,4666,4413,253
het Bildt,2016,4696,4478,218
het Bildt,2017,4697,4498,199
het Bildt,2018,,,
het Bildt,2019,,,
het Bildt,2020,,,
het Bildt,2021,,,
het Bildt,2022,,,
het Bildt,2023,,,
De Bilt,2012,19274,18147,1127
De Bilt,2013,19363,18233,1130
De Bilt,2014,19195,18234,961
De Bilt,2015,19220,18375,845
De Bilt,2016,19260,18467,793
De Bilt,2017,19375,18646,729
De Bilt,2018,19412,18696,716
De Bilt,2019,19544,18682,862
De Bilt,2020,19577,18792,785
De Bilt,2021,19738,18890,848
De Bilt,2022,19814,18978,836
De Bilt,2023,19884,18991,893
Binnenmaas,2012,12428,11865,563
Binnenmaas,2013,12477,11921,556
Binnenmaas,2014,12565,12014,551
Binnenmaas,2015,12527,12055,472
Binnenmaas,2016,12608,12126,482
Binnenmaas,2017,12722,12229,493
Binnenmaas,2018,12809,12314,495
Binnenmaas,2019,,,
Binnenmaas,2020,,,
Binnenmaas,2021,,,
Binnenmaas,2022,,,
Binnenmaas,2023,,,
Bladel,2012,8061,7664,397
Bladel,2013,8076,7739,337
Bladel,2014,8302,7952,350
Bladel,2015,8346,8029,317
Bladel,2016,8417,8099,318
Bladel,2017,8486,8191,295
Bladel,2018,8552,8239,313
Bladel,2019,8618,8288,330
Bladel,2020,8746,8403,343
Bladel,2021,8841,8500,341
Bladel,2022,8994,8664,330
Bladel,2023,9121,8806,315
Blaricum,2012,3888,3659,229
Blaricum,2013,4078,3847,231
Blaricum,2014,4151,3909,242
Blaricum,2015,4269,4051,218
Blaricum,2016,4363,4134,229
Blaricum,2017,4639,4390,249
Blaricum,2018,4864,4611,253
Blaricum,2019,4941,4718,223
Blaricum,2020,5075,4811,264
Blaricum,2021,5175,4935,240
Blaricum,2022,5330,5073,257
Blaricum,2023,5372,5126,246
Bloemendaal,2012,9439,8890,549
Bloemendaal,2013,9513,9049,464
Bloemendaal,2014,9565,9096,469
Bloemendaal,2015,9619,9184,435
Bloemendaal,2016,9653,9188,465
Bloemendaal,2017,9727,9276,451
Bloemendaal,2018,9894,9385,509
Bloemendaal,2019,9992,9501,491
Bloemendaal,2020,10034,9542,492
