period,region,mean_value
2011,Utrecht (PV),279.0
2012,Utrecht (PV),274.0
2013,Utrecht (PV),264.0
2014,Utrecht (PV),248.0
2015,Utrecht (PV),240.0
2016,Utrecht (PV),241.0
2017,Utrecht (PV),255.0
2018**,Utrecht (PV),274.0
2019*,Utrecht (PV),297.0
2020*,Utrecht (PV),323.0
1997,Noord-Holland (PV),79.0
1998,Noord-Holland (PV),79.0
1999,Noord-Holland (PV),80.0
2000,Noord-Holland (PV),80.0
2001,Noord-Holland (PV),144.0
2002,Noord-Holland (PV),145.0
2003,Noord-Holland (PV),145.0
2004,Noord-Holland (PV),146.0
2005,Noord-Holland (PV),220.0
2006,Noord-Holland (PV),221.0
2007,Noord-Holland (PV),230.0
2008,Noord-Holland (PV),251.0
2009,Noord-Holland (PV),267.0
2010,Noord-Holland (PV),269.0
2011,Noord-Holland (PV),262.0
2012,Noord-Holland (PV),258.0
2013,Noord-Holland (PV),248.0
2014,Noord-Holland (PV),235.0
2015,Noord-Holland (PV),232.0
2016,Noord-Holland (PV),240.0
2017,Noord-Holland (PV),260.0
2018**,Noord-Holland (PV),288.0
2019*,Noord-Holland (PV),318.0
2020*,Noord-Holland (PV),351.0
1997,Zuid-Holland (PV),76.0
1998,Zuid-Holland (PV),76.0
1999,Zuid-Holland (PV),77.0
2000,Zuid-Holland (PV),77.0
2001,Zuid-Holland (PV),120.0
2002,Zuid-Holland (PV),121.0
2003,Zuid-Holland (PV),121.0
2004,Zuid-Holland (PV),122.0
2005,Zuid-Holland (PV),186.0
2006,Zuid-Holland (PV),187.0
2007,Zuid-Holland (PV),203.0
2008,Zuid-Holland (PV),217.0
2009,Zuid-Holland (PV),225.0
2010,Zuid-Holland (PV),226.0
2011,Zuid-Holland (PV),221.0
2012,Zuid-Holland (PV),217.0
2013,Zuid-Holland (PV),210.0
2014,Zuid-Holland (PV),199.0
2015,Zuid-Holland (PV),194.0
2016,Zuid-Holland (PV),197.0
2017,Zuid-Holland (PV),203.0
2018**,Zuid-Holland (PV),214.0
2019*,Zuid-Holland (PV),237.0
2020*,Zuid-Holland (PV),262.0
1997,Zeeland (PV),71.0
1998,Zeeland (PV),71.0
1999,Zeeland (PV),72.0
2000,Zeeland (PV),72.0
2001,Zeeland (PV),101.0
2002,Zeeland (PV),102.0
2003,Zeeland (PV),102.0
2004,Zeeland (PV),103.0
2005,Zeeland (PV),158.0
2006,Zeeland (PV),159.0
2007,Zeeland (PV),181.0
2008,Zeeland (PV),194.0
2009,Zeeland (PV),199.0
2010,Zeeland (PV),200.0
2011,Zeeland (PV),198.0
2012,Zeeland (PV),198.0
2013,Zeeland (PV),194.0
2014,Zeeland (PV),188.0
2015,Zeeland (PV),185.0
2016,Zeeland (PV),186.0
2017,Zeeland (PV),190.0
2018**,Zeeland (PV),194.0
2019*,Zeeland (PV),203.0
2020*,Zeeland (PV),213.0
1997,Noord-Brabant (PV),86.0
1998,Noord-Brabant (PV),86.0
1999,Noord-Brabant (PV),86.0
2000,Noord-Brabant (PV),86.0
2001,Noord-Brabant (PV),145.0
2002,Noord-Brabant (PV),147.0
2003,Noord-Brabant (PV),148.0
2004,Noord-Brabant (PV),149.0
2005,Noord-Brabant (PV),226.0
2006,Noord-Brabant (PV),226.0
2007,Noord-Brabant (PV),245.0
2008,Noord-Brabant (PV),261.0
2009,Noord-Brabant (PV),270.0
2010,Noord-Brabant (PV),271.0
2011,Noord-Brabant (PV),264.0
2012,Noord-Brabant (PV),257.0
2013,Noord-Brabant (PV),246.0
2014,Noord-Brabant (PV),233.0
2015,Noord-Brabant (PV),226.0
2016,Noord-Brabant (PV),226.0
2017,Noord-Brabant (PV),232.0
2018**,Noord-Brabant (PV),241.0
2019*,Noord-Brabant (PV),257.0
2020*,Noord-Brabant (PV),275.0
1997,Limburg (PV),82.0
1998,Limburg (PV),82.0
1999,Limburg (PV),83.0
2000,Limburg (PV),83.0
2001,Limburg (PV),131.0
2002,Limburg (PV),132.0
2003,Limburg (PV),133.0
2004,Limburg (PV),133.0
2005,Limburg (PV),179.0
2006,Limburg (PV),179.0
2007,Limburg (PV),194.0
2008,Limburg (PV),202.0
2009,Limburg (PV),206.0
2010,Limburg (PV),206.0
2011,Limburg (PV),200.0
2012,Limburg (PV),196.0
2013,Limburg (PV),189.0
2014,Limburg (PV),180.0
2015,Limburg (PV),175.0
2016,Limburg (PV),178.0
2017,Limburg (PV),182.0
2018**,Limburg (PV),190.0
2019*,Limburg (PV),200.0
2020*,Limburg (PV),215.0
1997,Aa en Hunze,
1998,Aa en Hunze,79.0
1999,Aa en Hunze,80.0
2000,Aa en Hunze,80.0
2001,Aa en Hunze,139.0
2002,Aa en Hunze,140.0
2003,Aa en Hunze,140.0
2004,Aa en Hunze,141.0
2005,Aa en Hunze,212.0
2006,Aa en Hunze,212.0
2007,Aa en Hunze,239.0
2008,Aa en Hunze,253.0
2009,Aa en Hunze,261.0
2010,Aa en Hunze,263.0
2011,Aa en Hunze,261.0
2012,Aa en Hunze,254.0
2013,Aa en Hunze,240.0
2014,Aa en Hunze,224.0
2015,Aa en Hunze,217.0
2016,Aa en Hunze,217.0
2017,Aa en Hunze,227.0
2018**,Aa en Hunze,229.0
2019*,Aa en Hunze,246.0
2020*,Aa en Hunze,261.0
1997,Aalburg,105.0
1998,Aalburg,105.0
1999,Aalburg,105.0
2000,Aalburg,109.0
2001,Aalburg,157.0
2002,Aalburg,158.0
2003,Aalburg,159.0
2004,Aalburg,159.0
2005,Aalburg,249.0
2006,Aalburg,246.0
2007,Aalburg,262.0
2008,Aalburg,277.0
2009,Aalburg,293.0
2010,Aalburg,296.0
2011,Aalburg,277.0
2012,Aalburg,274.0
2013,Aalburg,266.0
2014,Aalburg,249.0
2015,Aalburg,241.0
2016,Aalburg,240.0
2017,Aalburg,244.0
2018**,Aalburg,251.0
2019*,Aalburg,
2020*,Aalburg,
1997,Aalsmeer,103.0
1998,Aalsmeer,103.0
1999,Aalsmeer,103.0
2000,Aalsmeer,104.0
2001,Aalsmeer,185.0
2002,Aalsmeer,186.0
2003,Aalsmeer,188.0
2004,Aalsmeer,189.0
2005,Aalsmeer,273.0
2006,Aalsmeer,274.0
2007,Aalsmeer,282.0
2008,Aalsmeer,299.0
2009,Aalsmeer,307.0
2010,Aalsmeer,312.0
2011,Aalsmeer,311.0
2012,Aalsmeer,302.0
2013,Aalsmeer,291.0
2014,Aalsmeer,276.0
2015,Aalsmeer,277.0
2016,Aalsmeer,283.0
2017,Aalsmeer,294.0
2018**,Aalsmeer,304.0
2019*,Aalsmeer,344.0
2020*,Aalsmeer,367.0
1997,Aalten,67.0
1998,Aalten,67.0
1999,Aalten,68.0
2000,Aalten,68.0
2001,Aalten,136.0
2002,Aalten,136.0
2003,Aalten,136.0
2004,Aalten,137.0
2005,Aalten,200.0
2006,Aalten,200.0
2007,Aalten,213.0
2008,Aalten,224.0
2009,Aalten,229.0
2010,Aalten,231.0
2011,Aalten,226.0
2012,Aalten,217.0
2013,Aalten,210.0
2014,Aalten,194.0
2015,Aalten,187.0
2016,Aalten,184.0
2017,Aalten,189.0
2018**,Aalten,195.0
2019*,Aalten,206.0
2020*,Aalten,220.0
1997,Ter Aar,94.0
1998,Ter Aar,94.0
1999,Ter Aar,95.0
2000,Ter Aar,95.0
2001,Ter Aar,178.0
2002,Ter Aar,177.0
2003,Ter Aar,177.0
2004,Ter Aar,180.0
2005,Ter Aar,258.0
2006,Ter Aar,261.0
2007,Ter Aar,
2008,Ter Aar,
2009,Ter Aar,
2010,Ter Aar,
2011,Ter Aar,
2012,Ter Aar,
2013,Ter Aar,
2014,Ter Aar,
2015,Ter Aar,
2016,Ter Aar,
2017,Ter Aar,
2018**,Ter Aar,
2019*,Ter Aar,
2020*,Ter Aar,
1997,Abcoude,141.0
1998,Abcoude,145.0
1999,Abcoude,146.0
2000,Abcoude,146.0
2001,Abcoude,238.0
2002,Abcoude,238.0
2003,Abcoude,239.0
2004,Abcoude,238.0
2005,Abcoude,359.0
2006,Abcoude,360.0
2007,Abcoude,388.0
2008,Abcoude,415.0
2009,Abcoude,426.0
2010,Abcoude,435.0
2011,Abcoude,
2012,Abcoude,
2013,Abcoude,
2014,Abcoude,
2015,Abcoude,
2016,Abcoude,
2017,Abcoude,
2018**,Abcoude,
2019*,Abcoude,
2020*,Abcoude,
1997,Achtkarspelen,60.0
1998,Achtkarspelen,61.0
1999,Achtkarspelen,62.0
2000,Achtkarspelen,62.0
2001,Achtkarspelen,100.0
2002,Achtkarspelen,100.0
2003,Achtkarspelen,101.0
2004,Achtkarspelen,101.0
2005,Achtkarspelen,154.0
2006,Achtkarspelen,155.0
2007,Achtkarspelen,180.0
2008,Achtkarspelen,196.0
2009,Achtkarspelen,202.0
2010,Achtkarspelen,197.0
2011,Achtkarspelen,194.0
2012,Achtkarspelen,190.0
2013,Achtkarspelen,180.0
2014,Achtkarspelen,165.0
2015,Achtkarspelen,160.0
2016,Achtkarspelen,159.0
2017,Achtkarspelen,164.0
2018**,Achtkarspelen,171.0
2019*,Achtkarspelen,181.0
2020*,Achtkarspelen,191.0
1997,Akersloot,109.0
1998,Akersloot,109.0
1999,Akersloot,109.0
2000,Akersloot,109.0
2001,Akersloot,172.0
2002,Akersloot,
2003,Akersloot,
2004,Akersloot,
2005,Akersloot,
2006,Akersloot,
2007,Akersloot,
2008,Akersloot,
2009,Akersloot,
2010,Akersloot,
2011,Akersloot,
2012,Akersloot,
2013,Akersloot,
2014,Akersloot,
2015,Akersloot,
2016,Akersloot,
2017,Akersloot,
2018**,Akersloot,
2019*,Akersloot,
2020*,Akersloot,
1997,Alblasserdam,70.0
1998,Alblasserdam,71.0
1999,Alblasserdam,72.0
2000,Alblasserdam,72.0
2001,Alblasserdam,117.0
2002,Alblasserdam,118.0
2003,Alblasserdam,119.0
2004,Alblasserdam,120.0
2005,Alblasserdam,179.0
2006,Alblasserdam,184.0
2007,Alblasserdam,201.0
2008,Alblasserdam,217.0
2009,Alblasserdam,225.0
2010,Alblasserdam,222.0
2011,Alblasserdam,219.0
2012,Alblasserdam,215.0
2013,Alblasserdam,205.0
2014,Alblasserdam,194.0
2015,Alblasserdam,190.0
2016,Alblasserdam,194.0
2017,Alblasserdam,198.0
2018**,Alblasserdam,204.0
2019*,Alblasserdam,217.0
2020*,Alblasserdam,234.0
1997,Albrandswaard,98.0
1998,Albrandswaard,96.0
1999,Albrandswaard,97.0
2000,Albrandswaard,96.0
2001,Albrandswaard,154.0
2002,Albrandswaard,153.0
2003,Albrandswaard,157.0
2004,Albrandswaard,157.0
2005,Albrandswaard,241.0
2006,Albrandswaard,241.0
2007,Albrandswaard,261.0
2008,Albrandswaard,275.0
2009,Albrandswaard,284.0
2010,Albrandswaard,287.0
2011,Albrandswaard,280.0
2012,Albrandswaard,277.0
2013,Albrandswaard,266.0
2014,Albrandswaard,254.0
2015,Albrandswaard,246.0
2016,Albrandswaard,248.0
2017,Albrandswaard,254.0
2018**,Albrandswaard,266.0
2019*,Albrandswaard,287.0
2020*,Albrandswaard,312.0
1997,Alkemade,110.0
1998,Alkemade,108.0
1999,Alkemade,110.0
2000,Alkemade,110.0
2001,Alkemade,179.0
2002,Alkemade,180.0
2003,Alkemade,181.0
2004,Alkemade,181.0
2005,Alkemade,264.0
2006,Alkemade,264.0
2007,Alkemade,283.0
2008,Alkemade,284.0
2009,Alkemade,
2010,Alkemade,
2011,Alkemade,
2012,Alkemade,
2013,Alkemade,
2014,Alkemade,
2015,Alkemade,
2016,Alkemade,
2017,Alkemade,
2018**,Alkemade,
2019*,Alkemade,
2020*,Alkemade,
1997,Alkmaar,64.0
1998,Alkmaar,65.0
1999,Alkmaar,65.0
2000,Alkmaar,65.0
2001,Alkmaar,114.0
2002,Alkmaar,114.0
2003,Alkmaar,116.0
2004,Alkmaar,117.0
2005,Alkmaar,178.0
2006,Alkmaar,178.0
2007,Alkmaar,184.0
2008,Alkmaar,196.0
2009,Alkmaar,205.0
2010,Alkmaar,209.0
2011,Alkmaar,205.0
2012,Alkmaar,204.0
2013,Alkmaar,193.0
2014,Alkmaar,181.0
2015,Alkmaar,181.0
2016,Alkmaar,182.0
2017,Alkmaar,188.0
2018**,Alkmaar,202.0
2019*,Alkmaar,222.0
2020*,Alkmaar,245.0
1997,Almelo,53.0
1998,Almelo,54.0
1999,Almelo,55.0
2000,Almelo,55.0
2001,Almelo,95.0
2002,Almelo,95.0
2003,Almelo,97.0
2004,Almelo,97.0
2005,Almelo,147.0
2006,Almelo,149.0
2007,Almelo,160.0
2008,Almelo,175.0
2009,Almelo,180.0
2010,Almelo,178.0
2011,Almelo,177.0
2012,Almelo,172.0
2013,Almelo,164.0
2014,Almelo,154.0
2015,Almelo,150.0
2016,Almelo,152.0
2017,Almelo,153.0
2018**,Almelo,160.0
2019*,Almelo,168.0
2020*,Almelo,183.0
1997,Almere,80.0
1998,Almere,81.0
1999,Almere,82.0
2000,Almere,82.0
2001,Almere,118.0
2002,Almere,121.0
2003,Almere,121.0
2004,Almere,122.0
2005,Almere,182.0
2006,Almere,180.0
2007,Almere,189.0
2008,Almere,194.0
2009,Almere,198.0
2010,Almere,199.0
2011,Almere,199.0
2012,Almere,195.0
2013,Almere,191.0
2014,Almere,183.0
2015,Almere,180.0
2016,Almere,181.0
2017,Almere,187.0
2018**,Almere,198.0
2019*,Almere,219.0
2020*,Almere,249.0
1997,Alphen aan den Rijn,78.0
1998,Alphen aan den Rijn,79.0
1999,Alphen aan den Rijn,79.0
2000,Alphen aan den Rijn,80.0
2001,Alphen aan den Rijn,134.0
2002,Alphen aan den Rijn,134.0
2003,Alphen aan den Rijn,135.0
2004,Alphen aan den Rijn,136.0
2005,Alphen aan den Rijn,202.0
2006,Alphen aan den Rijn,203.0
2007,Alphen aan den Rijn,219.0
2008,Alphen aan den Rijn,230.0
2009,Alphen aan den Rijn,240.0
2010,Alphen aan den Rijn,241.0
2011,Alphen aan den Rijn,238.0
2012,Alphen aan den Rijn,234.0
2013,Alphen aan den Rijn,225.0
2014,Alphen aan den Rijn,220.0
2015,Alphen aan den Rijn,217.0
2016,Alphen aan den Rijn,215.0
2017,Alphen aan den Rijn,219.0
2018**,Alphen aan den Rijn,231.0
2019*,Alphen aan den Rijn,245.0
2020*,Alphen aan den Rijn,264.0
1997,Alphen-Chaam,122.0
1998,Alphen-Chaam,122.0
1999,Alphen-Chaam,122.0
2000,Alphen-Chaam,123.0
2001,Alphen-Chaam,202.0
2002,Alphen-Chaam,202.0
2003,Alphen-Chaam,204.0
2004,Alphen-Chaam,204.0
2005,Alphen-Chaam,312.0
2006,Alphen-Chaam,311.0
2007,Alphen-Chaam,326.0
2008,Alphen-Chaam,338.0
2009,Alphen-Chaam,348.0
2010,Alphen-Chaam,344.0
2011,Alphen-Chaam,330.0
2012,Alphen-Chaam,322.0
2013,Alphen-Chaam,302.0
2014,Alphen-Chaam,290.0
2015,Alphen-Chaam,289.0
2016,Alphen-Chaam,289.0
2017,Alphen-Chaam,297.0
2018**,Alphen-Chaam,307.0
2019*,Alphen-Chaam,322.0
2020*,Alphen-Chaam,340.0
1997,Altena,
1998,Altena,
1999,Altena,
2000,Altena,
2001,Altena,
2002,Altena,
2003,Altena,
2004,Altena,
2005,Altena,
2006,Altena,
2007,Altena,
2008,Altena,
2009,Altena,
2010,Altena,
2011,Altena,
2012,Altena,
2013,Altena,
2014,Altena,
2015,Altena,
2016,Altena,
2017,Altena,
2018**,Altena,
2019*,Altena,254.0
2020*,Altena,271.0
1997,Ambt Delden,94.0
1998,Ambt Delden,92.0
1999,Ambt Delden,93.0
2000,Ambt Delden,94.0
2001,Ambt Delden,
2002,Ambt Delden,
2003,Ambt Delden,
2004,Ambt Delden,
2005,Ambt Delden,
2006,Ambt Delden,
2007,Ambt Delden,
2008,Ambt Delden,
2009,Ambt Delden,
2010,Ambt Delden,
2011,Ambt Delden,
2012,Ambt Delden,
2013,Ambt Delden,
2014,Ambt Delden,
2015,Ambt Delden,
2016,Ambt Delden,
2017,Ambt Delden,
2018**,Ambt Delden,
2019*,Ambt Delden,
2020*,Ambt Delden,
1997,Ambt Montfort,97.0
1998,Ambt Montfort,97.0
1999,Ambt Montfort,98.0
2000,Ambt Montfort,98.0
2001,Ambt Montfort,149.0
2002,Ambt Montfort,149.0
2003,Ambt Montfort,150.0
2004,Ambt Montfort,150.0
2005,Ambt Montfort,202.0
2006,Ambt Montfort,202.0
2007,Ambt Montfort,
2008,Ambt Montfort,
2009,Ambt Montfort,
2010,Ambt Montfort,
2011,Ambt Montfort,
2012,Ambt Montfort,
2013,Ambt Montfort,
2014,Ambt Montfort,
2015,Ambt Montfort,
2016,Ambt Montfort,
2017,Ambt Montfort,
2018**,Ambt Montfort,
2019*,Ambt Montfort,
2020*,Ambt Montfort,
1997,Ameland,78.0
1998,Ameland,77.0
1999,Ameland,78.0
2000,Ameland,79.0
2001,Ameland,123.0
2002,Ameland,121.0
2003,Ameland,122.0
2004,Ameland,122.0
2005,Ameland,187.0
2006,Ameland,186.0
2007,Ameland,201.0
2008,Ameland,213.0
2009,Ameland,220.0
2010,Ameland,220.0
2011,Ameland,223.0
2012,Ameland,221.0
2013,Ameland,210.0
2014,Ameland,201.0
2015,Ameland,196.0
2016,Ameland,221.0
2017,Ameland,227.0
2018**,Ameland,238.0
2019*,Ameland,247.0
2020*,Ameland,253.0
1997,Amerongen,121.0
1998,Amerongen,121.0
1999,Amerongen,120.0
2000,Amerongen,120.0
2001,Amerongen,177.0
2002,Amerongen,
2003,Amerongen,
2004,Amerongen,
2005,Amerongen,
2006,Amerongen,
2007,Amerongen,
2008,Amerongen,
2009,Amerongen,
2010,Amerongen,
2011,Amerongen,
2012,Amerongen,
2013,Amerongen,
2014,Amerongen,
2015,Amerongen,
2016,Amerongen,
2017,Amerongen,
2018**,Amerongen,
2019*,Amerongen,
2020*,Amerongen,
1997,Amersfoort,92.0
1998,Amersfoort,92.0
1999,Amersfoort,93.0
2000,Amersfoort,93.0
2001,Amersfoort,146.0
2002,Amersfoort,147.0
2003,Amersfoort,148.0
2004,Amersfoort,149.0
2005,Amersfoort,212.0
2006,Amersfoort,215.0
2007,Amersfoort,229.0
2008,Amersfoort,247.0
2009,Amersfoort,260.0
2010,Amersfoort,258.0
2011,Amersfoort,251.0
2012,Amersfoort,247.0
2013,Amersfoort,235.0
2014,Amersfoort,222.0
2015,Amersfoort,217.0
2016,Amersfoort,223.0
2017,Amersfoort,234.0
2018**,Amersfoort,254.0
2019*,Amersfoort,281.0
2020*,Amersfoort,305.0
1997,Ammerzoden,85.0
1998,Ammerzoden,85.0
1999,Ammerzoden,
2000,Ammerzoden,
2001,Ammerzoden,
2002,Ammerzoden,
2003,Ammerzoden,
2004,Ammerzoden,
2005,Ammerzoden,
2006,Ammerzoden,
2007,Ammerzoden,
2008,Ammerzoden,
2009,Ammerzoden,
2010,Ammerzoden,
2011,Ammerzoden,
2012,Ammerzoden,
2013,Ammerzoden,
2014,Ammerzoden,
2015,Ammerzoden,
2016,Ammerzoden,
2017,Ammerzoden,
2018**,Ammerzoden,
2019*,Ammerzoden,
2020*,Ammerzoden,
1997,Amstelveen,97.0
1998,Amstelveen,97.0
1999,Amstelveen,97.0
2000,Amstelveen,97.0
2001,Amstelveen,175.0
2002,Amstelveen,175.0
2003,Amstelveen,177.0
2004,Amstelveen,177.0
2005,Amstelveen,250.0
2006,Amstelveen,251.0
2007,Amstelveen,265.0
2008,Amstelveen,288.0
2009,Amstelveen,307.0
2010,Amstelveen,306.0
2011,Amstelveen,302.0
2012,Amstelveen,299.0
2013,Amstelveen,283.0
2014,Amstelveen,268.0
2015,Amstelveen,268.0
2016,Amstelveen,282.0
2017,Amstelveen,310.0
2018**,Amstelveen,342.0
2019*,Amstelveen,389.0
2020*,Amstelveen,418.0
1997,Amsterdam,60.0
1998,Amsterdam,61.0
1999,Amsterdam,62.0
2000,Amsterdam,62.0
2001,Amsterdam,133.0
2002,Amsterdam,133.0
2003,Amsterdam,134.0
2004,Amsterdam,135.0
2005,Amsterdam,204.0
2006,Amsterdam,204.0
2007,Amsterdam,204.0
2008,Amsterdam,231.0
2009,Amsterdam,259.0
2010,Amsterdam,261.0
2011,Amsterdam,248.0
2012,Amsterdam,249.0
2013,Amsterdam,240.0
2014,Amsterdam,230.0
2015,Amsterdam,232.0
2016,Amsterdam,251.0
2017,Amsterdam,291.0
2018**,Amsterdam,340.0
2019*,Amsterdam,378.0
2020*,Amsterdam,418.0
1997,Andijk,85.0
1998,Andijk,85.0
1999,Andijk,85.0
2000,Andijk,86.0
2001,Andijk,125.0
2002,Andijk,127.0
2003,Andijk,127.0
2004,Andijk,127.0
2005,Andijk,204.0
2006,Andijk,204.0
2007,Andijk,223.0
2008,Andijk,228.0
2009,Andijk,236.0
2010,Andijk,235.0
2011,Andijk,
2012,Andijk,
2013,Andijk,
2014,Andijk,
2015,Andijk,
2016,Andijk,
2017,Andijk,
2018**,Andijk,
2019*,Andijk,
2020*,Andijk,
1997,Angerlo,97.0
1998,Angerlo,97.0
1999,Angerlo,97.0
2000,Angerlo,97.0
2001,Angerlo,153.0
2002,Angerlo,
2003,Angerlo,
2004,Angerlo,
2005,Angerlo,
2006,Angerlo,
2007,Angerlo,
2008,Angerlo,
2009,Angerlo,
2010,Angerlo,
2011,Angerlo,
2012,Angerlo,
2013,Angerlo,
2014,Angerlo,
2015,Angerlo,
2016,Angerlo,
2017,Angerlo,
2018**,Angerlo,
2019*,Angerlo,
2020*,Angerlo,
1997,Anloo,76.0
1998,Anloo,
1999,Anloo,
2000,Anloo,
2001,Anloo,
2002,Anloo,
2003,Anloo,
2004,Anloo,
2005,Anloo,
2006,Anloo,
2007,Anloo,
2008,Anloo,
2009,Anloo,
2010,Anloo,
2011,Anloo,
2012,Anloo,
2013,Anloo,
2014,Anloo,
2015,Anloo,
2016,Anloo,
2017,Anloo,
2018**,Anloo,
2019*,Anloo,
2020*,Anloo,
1997,Anna Paulowna,79.0
1998,Anna Paulowna,78.0
1999,Anna Paulowna,79.0
2000,Anna Paulowna,79.0
2001,Anna Paulowna,132.0
2002,Anna Paulowna,130.0
2003,Anna Paulowna,130.0
